"T","X","Y","datasets","days"
"2022--P1Y", +0019, +0040,  237,   73
"2022--P1Y", +0019, +0041,  110,   73
"2022--P1Y", +0019, +0042,   36,   20
"2022--P1Y", +0019, +0043,   24,    8
"2022--P1Y", +0019, +0044,   24,    8
"2022--P1Y", +0019, +0045,   14,    8
"2022--P1Y", +0020, +0016,   74,   71
"2022--P1Y", +0020, +0017,  516,  144
"2022--P1Y", +0020, +0018,  598,  144
"2022--P1Y", +0020, +0019,  595,  144
"2022--P1Y", +0020, +0020,  559,  144
"2022--P1Y", +0020, +0021,  488,  144
"2022--P1Y", +0020, +0022,  434,  144
"2022--P1Y", +0020, +0023,  585,  144
"2022--P1Y", +0020, +0024,  724,  143
"2022--P1Y", +0020, +0025,  626,  143
"2022--P1Y", +0020, +0026,  285,   71
"2022--P1Y", +0020, +0027,  287,   71
"2022--P1Y", +0020, +0028,  284,   71
"2022--P1Y", +0020, +0029,  281,   71
"2022--P1Y", +0020, +0030,  285,   71
"2022--P1Y", +0020, +0031,  398,  144
"2022--P1Y", +0020, +0032,  438,  144
"2022--P1Y", +0020, +0033,  513,  144
"2022--P1Y", +0020, +0034,  585,  144
"2022--P1Y", +0020, +0035,  515,  144
"2022--P1Y", +0020, +0036,  443,  144
"2022--P1Y", +0020, +0037,  440,  143
"2022--P1Y", +0020, +0038,  447,  143
"2022--P1Y", +0020, +0039,  437,  143
"2022--P1Y", +0020, +0040,  386,   73
"2022--P1Y", +0020, +0041,  180,   73
"2022--P1Y", +0020, +0042,   40,   16
"2022--P1Y", +0020, +0043,   16,    4
"2022--P1Y", +0020, +0044,   16,    4
"2022--P1Y", +0020, +0045,    8,    4
"2022--P1Y", +0021, +0016,   44,   44
"2022--P1Y", +0021, +0017,  158,   73
"2022--P1Y", +0021, +0018,  225,   73
"2022--P1Y", +0021, +0019,  369,   73
"2022--P1Y", +0021, +0020,  449,   73
"2022--P1Y", +0021, +0021,  596,  144
"2022--P1Y", +0021, +0022,  887,  144
"2022--P1Y", +0021, +0023, 1040,  144
"2022--P1Y", +0021, +0024,  734,  144
"2022--P1Y", +0021, +0025,  649,  144
"2022--P1Y", +0021, +0026,  508,  144
"2022--P1Y", +0021, +0027,  721,  144
"2022--P1Y", +0021, +0028,  869,  144
"2022--P1Y", +0021, +0029,  800,  144
"2022--P1Y", +0021, +0030,  688,  144
"2022--P1Y", +0021, +0031,  422,   71
"2022--P1Y", +0021, +0032,  443,   71
"2022--P1Y", +0021, +0033,  440,   71
"2022--P1Y", +0021, +0034,  429,   71
"2022--P1Y", +0021, +0035,  431,   71
"2022--P1Y", +0021, +0036,  451,   71
"2022--P1Y", +0021, +0037,  578,  144
"2022--P1Y", +0021, +0038,  727,  144
"2022--P1Y", +0021, +0039,  656,  144
"2022--P1Y", +0021, +0040,  737,  144
"2022--P1Y", +0021, +0041,  398,  143
"2022--P1Y", +0021, +0042,   51,   19
"2022--P1Y", +0021, +0043,   25,    7
"2022--P1Y", +0021, +0044,   26,    7
"2022--P1Y", +0021, +0045,   16,    4
"2022--P1Y", +0021, +0046,    8,    4
"2022--P1Y", +0022, +0016,    7,    4
"2022--P1Y", +0022, +0017,   15,    4
"2022--P1Y", +0022, +0018,   85,   73
"2022--P1Y", +0022, +0019,  383,  146
"2022--P1Y", +0022, +0020,  464,  146
"2022--P1Y", +0022, +0021, 1137,  146
"2022--P1Y", +0022, +0022,  828,  146
"2022--P1Y", +0022, +0023,  461,   73
"2022--P1Y", +0022, +0024,  445,   73
"2022--P1Y", +0022, +0025,  442,   73
"2022--P1Y", +0022, +0026,  440,   73
"2022--P1Y", +0022, +0027,  512,  143
"2022--P1Y", +0022, +0028,  727,  144
"2022--P1Y", +0022, +0029,  736,  144
"2022--P1Y", +0022, +0030,  726,  144
"2022--P1Y", +0022, +0031,  802,  144
"2022--P1Y", +0022, +0032,  902,  144
"2022--P1Y", +0022, +0033,  808,  144
"2022--P1Y", +0022, +0034,  651,  144
"2022--P1Y", +0022, +0035,  516,  143
"2022--P1Y", +0022, +0036,  453,   71
"2022--P1Y", +0022, +0037,  425,   71
"2022--P1Y", +0022, +0038,  428,   71
"2022--P1Y", +0022, +0039,  436,   71
"2022--P1Y", +0022, +0040,  430,   71
"2022--P1Y", +0022, +0041,  227,   70
"2022--P1Y", +0022, +0042,   15,    3
"2022--P1Y", +0022, +0043,   20,    7
"2022--P1Y", +0022, +0044,   26,    7
"2022--P1Y", +0022, +0045,   24,    7
"2022--P1Y", +0022, +0046,   14,    7
"2022--P1Y", +0023, +0018,    5,    4
"2022--P1Y", +0023, +0019,  319,  146
"2022--P1Y", +0023, +0020,  615,  146
"2022--P1Y", +0023, +0021,  910,  146
"2022--P1Y", +0023, +0022,  682,  146
"2022--P1Y", +0023, +0023,  601,  146
"2022--P1Y", +0023, +0024,  669,  146
"2022--P1Y", +0023, +0025,  745,  146
"2022--P1Y", +0023, +0026,  598,  146
"2022--P1Y", +0023, +0027,  519,  146
"2022--P1Y", +0023, +0028,  302,   73
"2022--P1Y", +0023, +0029,  296,   73
"2022--P1Y", +0023, +0030,  296,   73
"2022--P1Y", +0023, +0031,  303,   73
"2022--P1Y", +0023, +0032,  308,   73
"2022--P1Y", +0023, +0033,  441,  144
"2022--P1Y", +0023, +0034,  434,  144
"2022--P1Y", +0023, +0035,  443,  143
"2022--P1Y", +0023, +0036,  485,  142
"2022--P1Y", +0023, +0037,  570,  143
"2022--P1Y", +0023, +0038,  516,  143
"2022--P1Y", +0023, +0039,  438,  142
"2022--P1Y", +0023, +0040,  296,  141
"2022--P1Y", +0023, +0041,   83,   70
"2022--P1Y", +0023, +0042,   12,    3
"2022--P1Y", +0023, +0043,   18,    3
"2022--P1Y", +0023, +0044,   18,    3
"2022--P1Y", +0023, +0045,   12,    3
"2022--P1Y", +0023, +0046,    6,    3
"2022--P1Y", +0024, +0018,    6,    3
"2022--P1Y", +0024, +0019,  153,   73
"2022--P1Y", +0024, +0020,  373,  145
"2022--P1Y", +0024, +0021,  446,   73
"2022--P1Y", +0024, +0022,  298,   73
"2022--P1Y", +0024, +0023,  376,   73
"2022--P1Y", +0024, +0024,  602,  146
"2022--P1Y", +0024, +0025,  747,  146
"2022--P1Y", +0024, +0026,  752,  146
"2022--P1Y", +0024, +0027,  444,  146
"2022--P1Y", +0024, +0028,  453,  146
"2022--P1Y", +0024, +0029,  620,  146
"2022--P1Y", +0024, +0030,  600,  146
"2022--P1Y", +0024, +0031,  531,  146
"2022--P1Y", +0024, +0032,  380,  146
"2022--P1Y", +0024, +0033,  296,   73
"2022--P1Y", +0024, +0034,  288,   73
"2022--P1Y", +0024, +0035,  291,   72
"2022--P1Y", +0024, +0036,  291,   72
"2022--P1Y", +0024, +0037,  285,   72
"2022--P1Y", +0024, +0038,  438,  143
"2022--P1Y", +0024, +0039,  448,  143
"2022--P1Y", +0024, +0040,  316,  141
"2022--P1Y", +0024, +0041,  316,  143
"2022--P1Y", +0024, +0042,  316,  143
"2022--P1Y", +0024, +0043,  176,  143
"2022--P1Y", +0024, +0044,   30,    7
"2022--P1Y", +0024, +0045,   20,    7
"2022--P1Y", +0024, +0046,    6,    3
"2022--P1Y", +0025, +0018,   12,    3
"2022--P1Y", +0025, +0019,  115,   89
"2022--P1Y", +0025, +0020,  409,  145
"2022--P1Y", +0025, +0021,  402,  145
"2022--P1Y", +0025, +0022,  444,  145
"2022--P1Y", +0025, +0023,  453,  145
"2022--P1Y", +0025, +0024,  450,  145
"2022--P1Y", +0025, +0025,  446,   73
"2022--P1Y", +0025, +0026,  466,   73
"2022--P1Y", +0025, +0027,  443,   73
"2022--P1Y", +0025, +0028,  391,   73
"2022--P1Y", +0025, +0029,  396,  146
"2022--P1Y", +0025, +0030,  449,  146
"2022--P1Y", +0025, +0031,  449,  146
"2022--P1Y", +0025, +0032,  451,  146
"2022--P1Y", +0025, +0033,  510,  146
"2022--P1Y", +0025, +0034,  582,  145
"2022--P1Y", +0025, +0035,  546,  145
"2022--P1Y", +0025, +0036,  432,  145
"2022--P1Y", +0025, +0037,  286,   72
"2022--P1Y", +0025, +0038,  303,   72
"2022--P1Y", +0025, +0039,  305,   72
"2022--P1Y", +0025, +0040,  320,   72
"2022--P1Y", +0025, +0041,  466,   72
"2022--P1Y", +0025, +0042,  366,   72
"2022--P1Y", +0025, +0043,  310,   75
"2022--P1Y", +0025, +0044,  171,   75
"2022--P1Y", +0025, +0045,   91,   75
"2022--P1Y", +0025, +0046,   11,    7
"2022--P1Y", +0026, +0019,   38,   16
"2022--P1Y", +0026, +0020,  184,   72
"2022--P1Y", +0026, +0021,  253,  145
"2022--P1Y", +0026, +0022,  518,  145
"2022--P1Y", +0026, +0023,  590,  145
"2022--P1Y", +0026, +0024,  592,  145
"2022--P1Y", +0026, +0025,  536,  145
"2022--P1Y", +0026, +0026,  686,  145
"2022--P1Y", +0026, +0027,  749,  146
"2022--P1Y", +0026, +0028,  779,  146
"2022--P1Y", +0026, +0029,  570,  146
"2022--P1Y", +0026, +0030,  304,   73
"2022--P1Y", +0026, +0031,  294,   73
"2022--P1Y", +0026, +0032,  297,   73
"2022--P1Y", +0026, +0033,  297,   73
"2022--P1Y", +0026, +0034,  361,  137
"2022--P1Y", +0026, +0035,  483,  144
"2022--P1Y", +0026, +0036,  446,  145
"2022--P1Y", +0026, +0037,  444,  145
"2022--P1Y", +0026, +0038,  596,  145
"2022--P1Y", +0026, +0039,  594,  145
"2022--P1Y", +0026, +0040,  530,  145
"2022--P1Y", +0026, +0041,  604,  145
"2022--P1Y", +0026, +0042,  434,   72
"2022--P1Y", +0026, +0043,  377,   72
"2022--P1Y", +0026, +0044,  298,   72
"2022--P1Y", +0026, +0045,  154,   72
"2022--P1Y", +0026, +0046,    8,    4
"2022--P1Y", +0027, +0018,    7,    2
"2022--P1Y", +0027, +0019,  348,  145
"2022--P1Y", +0027, +0020,  342,  145
"2022--P1Y", +0027, +0021,  685,  145
"2022--P1Y", +0027, +0022,  738,  145
"2022--P1Y", +0027, +0023,  440,   72
"2022--P1Y", +0027, +0024,  440,   72
"2022--P1Y", +0027, +0025,  503,   72
"2022--P1Y", +0027, +0026,  598,  145
"2022--P1Y", +0027, +0027,  824,  146
"2022--P1Y", +0027, +0028,  810,  146
"2022--P1Y", +0027, +0029,  715,  146
"2022--P1Y", +0027, +0030,  596,  146
"2022--P1Y", +0027, +0031,  595,  146
"2022--P1Y", +0027, +0032,  598,  146
"2022--P1Y", +0027, +0033,  446,  146
"2022--P1Y", +0027, +0034,  325,   73
"2022--P1Y", +0027, +0035,  338,   73
"2022--P1Y", +0027, +0036,  304,   73
"2022--P1Y", +0027, +0037,  301,   73
"2022--P1Y", +0027, +0038,  300,   73
"2022--P1Y", +0027, +0039,  443,  145
"2022--P1Y", +0027, +0040,  596,  145
"2022--P1Y", +0027, +0041,  671,  145
"2022--P1Y", +0027, +0042,  692,  145
"2022--P1Y", +0027, +0043,  541,  145
"2022--P1Y", +0027, +0044,  592,  145
"2022--P1Y", +0027, +0045,  240,  145
"2022--P1Y", +0027, +0046,    8,    4
"2022--P1Y", +0028, +0016,    7,    4
